[0.000000] (-) TimerEvent: {}
[0.000288] (turtle) JobQueued: {'identifier': 'turtle', 'dependencies': OrderedDict()}
[0.106706] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Back_left2.STL\n'}
[0.106798] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/collision/Back_right1.STL\n'}
[0.106886] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual\n'}
[0.106973] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Front_left1.STL\n'}
[0.107060] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Back_left1.STL\n'}
[0.107169] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/base_link.STL\n'}
[0.107270] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Front_left2.STL\n'}
[0.107433] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Front_right1.STL\n'}
[0.107521] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Front_right2.STL\n'}
[0.107599] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Back_right2.STL\n'}
[0.107701] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Back_left2.STL\n'}
[0.107777] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/meshes/visual/Back_right1.STL\n'}
[0.111462] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision\n'}
[0.111563] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Front_left1.STL\n'}
[0.111656] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Back_left1.STL\n'}
[0.111786] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/base_link.STL\n'}
[0.111939] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Front_left2.STL\n'}
[0.112052] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Front_right1.STL\n'}
[0.112312] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Front_right2.STL\n'}
[0.112495] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Back_right2.STL\n'}
[0.112611] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Back_left2.STL\n'}
[0.112688] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/collision/Back_right1.STL\n'}
[0.113528] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual\n'}
[0.113619] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Front_left1.STL\n'}
[0.113697] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Back_left1.STL\n'}
[0.113837] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/base_link.STL\n'}
[0.113918] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Front_left2.STL\n'}
[0.113993] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Front_right1.STL\n'}
[0.114067] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Front_right2.STL\n'}
[0.114161] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Back_right2.STL\n'}
[0.114257] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Back_left2.STL\n'}
[0.114395] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/visual/Back_right1.STL\n'}
[0.114474] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/models\n'}
[0.114547] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/params\n'}
[0.114620] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/rviz\n'}
[0.114693] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/rviz/rviz_basic_settings.rviz\n'}
[0.114782] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/src\n'}
[0.114865] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/urdf\n'}
[0.114937] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/urdf/URDF1.urdf\n'}
[0.115011] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/worlds\n'}
[0.115082] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/ament_index/resource_index/package_run_dependencies/turtle\n'}
[0.115154] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/ament_index/resource_index/parent_prefix_path/turtle\n'}
[0.115226] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/environment/ament_prefix_path.sh\n'}
[0.115366] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/environment/ament_prefix_path.dsv\n'}
[0.115445] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/environment/path.sh\n'}
[0.115516] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/environment/path.dsv\n'}
[0.115588] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/local_setup.bash\n'}
[0.115659] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/local_setup.sh\n'}
[0.115732] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/local_setup.zsh\n'}
[0.115818] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/local_setup.dsv\n'}
[0.115900] (turtle) StdoutLine: {'line': b'-- Installing: /home/kitili/test2/install/turtle/share/turtle/package.dsv\n'}
[0.115981] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/ament_index/resource_index/packages/turtle\n'}
[0.116052] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/cmake/turtleConfig.cmake\n'}
[0.116124] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/cmake/turtleConfig-version.cmake\n'}
[0.116197] (turtle) StdoutLine: {'line': b'-- Up-to-date: /home/kitili/test2/install/turtle/share/turtle/package.xml\n'}
[0.116301] (turtle) CommandEnded: {'returncode': 0}
[0.154598] (turtle) JobEnded: {'identifier': 'turtle', 'rc': 0}
[0.154987] (-) EventReactorShutdown: {}
